,volatility,max_drawdown,avg_return,sharpe_ratio,downside_deviation
MSFT,0.21642834378399356,-0.1851856447335397,-0.00530377585948155,-0.3890194330874099,0.17391587982121262
AMZN,0.2868653850756787,-0.20383374715166325,0.006607160510919208,0.3656259240807392,0.20215086809787547
GOOGL,0.2939205188653468,-0.2513434545585226,0.0025333970732672106,0.13682757475903815,0.20667170316470693
V,0.17856869951964138,-0.09694630217533362,0.014786953889037729,1.3145395383563285,0.14038438179948545
TSLA,0.6923722712202832,-0.5370524722253526,0.040830424413484424,0.9361479661763966,0.3900746652189306
XPO,0.4104308943262346,-0.3292035095215521,-0.0029666002775244203,-0.11474116615733207,0.2520564827914556
ETN,0.3428100091138861,-0.2737602738757091,-0.003871587512139685,-0.17928165684465625,0.3046576246183135
EMTL,0.027259453741867227,-0.01685478671171836,0.004850361704382584,2.8246019072931006,0.01653016293997299
ARKK,0.387732368169955,-0.2949865358596929,0.004036949901638819,0.1652804827006024,0.26621937603867557
